,file,only_download,direction,throughput_up,throughput_down,lat,long,mcs_up,mcs_down,rsrp0,rsrp1,rsrp2,rsrp3,rsrp4,rsrp5,rsrp6,rsrp7,beam_id0,beam_id1,beam_id2,beam_id3,beam_id4,beam_id5,beam_id6,beam_id7,selected_beam
98,20 Oct with GPS/23Oct20 170308.1.csv,False,S,81.7,1.4,45.477348,9.234825,13.0,2.0,-92.1,-86.0,-91.7,-84.9,0,0,0,0,11,12,13,18,0,0,0,0, 18
99,20 Oct with GPS/23Oct20 170308.1.csv,False,S,81.5,1.0,45.477345,9.234827,13.0,0.0,-91.3,-86.3,-91.1,-84.7,0,0,0,0,11,12,13,18,0,0,0,0, 18
100,20 Oct with GPS/23Oct20 170308.1.csv,False,S,82.0,1.1,45.477345,9.234827,13.0,0.0,-91.2,-86.0,-91.3,-84.4,0,0,0,0,11,12,13,18,0,0,0,0, 18
101,20 Oct with GPS/23Oct20 170308.1.csv,False,S,81.2,0.9,45.477345,9.234827,13.0,0.0,-91.7,-86.1,-91.4,-84.5,0,0,0,0,11,12,13,18,0,0,0,0, 18
102,20 Oct with GPS/23Oct20 170308.1.csv,False,S,81.4,1.2,45.477345,9.234827,13.0,0.0,-92.0,-86.4,-90.9,-84.3,0,0,0,0,11,12,13,18,0,0,0,0, 18
103,20 Oct with GPS/23Oct20 170308.1.csv,False,S,80.4,1.2,45.477345,9.234827,13.0,2.0,-92.5,-86.7,-91.5,-84.5,0,0,0,0,11,12,13,18,0,0,0,0, 18
104,20 Oct with GPS/23Oct20 170308.1.csv,False,S,80.6,1.3,45.477345,9.234828,13.0,2.0,-92.3,-86.9,-92.1,-84.4,0,0,0,0,11,12,13,18,0,0,0,0, 18
105,20 Oct with GPS/23Oct20 170308.1.csv,False,S,80.3,1.4,45.477341,9.234828,13.0,2.0,-91.9,-86.5,-92.0,-84.6,0,0,0,0,11,12,13,18,0,0,0,0, 18
106,20 Oct with GPS/23Oct20 170308.1.csv,False,S,80.4,1.5,45.477341,9.234828,13.0,2.0,-91.0,-86.3,-90.7,-84.5,0,0,0,0,11,12,13,18,0,0,0,0, 18
107,20 Oct with GPS/23Oct20 170308.1.csv,False,S,80.7,1.1,45.477341,9.234828,13.0,0.0,-91.1,-86.3,-90.6,-84.4,0,0,0,0,11,12,13,18,0,0,0,0, 18
